Instruction,question1,question2,answer ,hint,deck_id,grade_id
Fix this sentence:,it is raining hard,,It is raining hard.,,English - Grammar 1,2
Fix this sentence:,i like to play in the rain,,I like to play in the rain.,,English - Grammar 1,2
Fix this sentence:,should i wear my boots,,Should i wear my boots?,,English - Grammar 1,2
Fix this sentence:,can we jump in the puddles,,Can we jump in the puddles?,,English - Grammar 1,2
Fix this sentence:,i see a pretty rainbow,,I see a pretty rainbow.,,English - Grammar 1,2
,,,gold,,English - Vocab (sight words),2
,,,dish,,English - Vocab (sight words),2
,,,face,,English - Vocab (sight words),2
,,,family,,English - Vocab (sight words),2
,,,grass,,English - Vocab (sight words),2
,2 + 3,,5,if you add 1 to 4 you will have the answer.,Math - Addition,2
,1 + 3,,4,If you subtract 1 from 5 you will have the answer.,Math - Addition,2
,2 + 4,,6,,Math - Addition,2
,0 + 0,,0,,Math - Addition,2
,8 + 5,,13,,Math - Addition,2
,,,,,Math - Subtraction,2
,,,,,Math - Subtraction,2
,,,,,Math - Subtraction,2
,0 - 0,,,,Math - Subtraction,2
,,,,,Math - Subtraction,2
,8 X 5,,,,Math - Multiplecation,2
,1 X 3,,,,Math - Multiplecation,2
,2 X 4,,,,Math - Multiplecation,2
,0 X 0,,,,Math - Multiplecation,2
,8 X 5,,,,Math - Multiplecation,2
,2 % 10,,,,Math - Division,2
,1 % 3,,,,Math - Division,2
,2 % 4,,,,Math - Division,2
,0 % 0,,,,Math - Division,2
,8 % 5,,,,Math - Division,2
